Displacement_mm,BaseShear_kN
-3.250000000000000000e+00,-1.987658683891557985e+02
-3.500000000000000000e+00,-2.138587569178927765e+02
-3.750000000000000000e+00,-2.289466116274462877e+02
-4.000000000000000000e+00,-2.440288244941130245e+02
-3.750000000000000000e+00,-2.287719374337503950e+02
-3.500000000000000000e+00,-2.135152041722513445e+02
-3.250000000000000000e+00,-1.982586195880746516e+02
-3.000000000000000000e+00,-1.830022413880865599e+02
-2.750000000000000000e+00,-1.677460927706245002e+02
-2.500000000000000000e+00,-1.524901565431767665e+02
-2.250000000000000000e+00,-1.372344356924044462e+02
-2.000000000000000000e+00,-1.219790635235812175e+02
-1.750000000000000000e+00,-1.067239524123603189e+02
-1.500000000000000000e+00,-9.146945653914303875e+01
-1.250000000000000000e+00,-7.621567357664439157e+01
-1.000000000000000000e+00,-6.096212629063177957e+01
-7.500000000000000000e-01,-4.570921929608265089e+01
-5.000000000000000000e-01,-3.045629090094065816e+01
-2.500000000000000000e-01,-1.520302066130211571e+01
0.000000000000000000e+00,5.039024622726560876e-02
2.500000000000000000e-01,1.530357021915255977e+01
5.000000000000000000e-01,3.055579644136177819e+01
7.500000000000000000e-01,4.580734674731687051e+01
1.000000000000000000e+00,6.105761151293290112e+01
1.250000000000000000e+00,7.630619372141322287e+01
1.500000000000000000e+00,9.155366452589935022e+01
1.750000000000000000e+00,1.068020464356879273e+02
2.000000000000000000e+00,1.220507601715164157e+02
2.250000000000000000e+00,1.372973889654029165e+02
2.500000000000000000e+00,1.525462202890443280e+02
2.750000000000000000e+00,1.677952398235664759e+02
3.000000000000000000e+00,1.830412891497479677e+02
3.250000000000000000e+00,1.982889668072840266e+02
3.500000000000000000e+00,2.135365763074518952e+02
3.750000000000000000e+00,2.287863481492616984e+02
4.000000000000000000e+00,2.440247968108423606e+02
3.750000000000000000e+00,2.287679273005587106e+02
3.500000000000000000e+00,2.135112018518080390e+02
3.250000000000000000e+00,1.982546444232318663e+02
3.000000000000000000e+00,1.829982800229740860e+02
2.750000000000000000e+00,1.677422014061819482e+02
2.500000000000000000e+00,1.524863338107652737e+02
2.250000000000000000e+00,1.372306915509530825e+02
2.000000000000000000e+00,1.219753797889623570e+02
1.750000000000000000e+00,1.067203186756869542e+02
1.500000000000000000e+00,9.146581827596810399e+01
1.250000000000000000e+00,7.621172949917426820e+01
1.000000000000000000e+00,6.095807427628427888e+01
7.500000000000000000e-01,4.570438214158414780e+01
5.000000000000000000e-01,3.045103513835777775e+01
2.500000000000000000e-01,1.519759294796396532e+01
0.000000000000000000e+00,-5.590441106988919273e-02
-2.500000000000000000e-01,-1.530944593602029258e+01
-5.000000000000000000e-01,-3.056198135509377067e+01
-7.500000000000000000e-01,-4.581245791070698203e+01
-1.000000000000000000e+00,-6.106127889917970464e+01
-1.250000000000000000e+00,-7.630799830527608663e+01
-1.500000000000000000e+00,-9.155605449933810291e+01
-1.750000000000000000e+00,-1.068027133676595923e+02
-2.000000000000000000e+00,-1.220518365957476590e+02
-2.250000000000000000e+00,-1.372971340219139904e+02
-2.500000000000000000e+00,-1.525474075404309531e+02
-2.750000000000000000e+00,-1.677961096597312576e+02
-3.000000000000000000e+00,-1.830437581349090976e+02
-3.250000000000000000e+00,-1.982910601239337893e+02
-3.500000000000000000e+00,-2.135395360639618900e+02
-3.750000000000000000e+00,-2.287883087004143761e+02
-4.000000000000000000e+00,-2.440367307881068086e+02
-3.750000000000000000e+00,-2.287798431813181139e+02
-3.500000000000000000e+00,-2.135231116036133585e+02
-3.250000000000000000e+00,-1.982665275631351278e+02
-3.000000000000000000e+00,-1.830101506952088357e+02
-2.750000000000000000e+00,-1.677540043321434098e+02
-2.500000000000000000e+00,-1.524980713634382141e+02
-2.250000000000000000e+00,-1.372423538820791293e+02
-2.000000000000000000e+00,-1.219869859512044314e+02
-1.750000000000000000e+00,-1.067318801785338280e+02
-1.500000000000000000e+00,-9.147739015794378759e+01
-1.250000000000000000e+00,-7.622361468669971885e+01
-1.000000000000000000e+00,-6.097007557954524515e+01
-7.500000000000000000e-01,-4.571717895952983923e+01
-5.000000000000000000e-01,-3.046426205976467827e+01
-2.500000000000000000e-01,-1.521100285622968151e+01
0.000000000000000000e+00,4.239693103809986235e-02
2.500000000000000000e-01,1.529556573409841036e+01
5.000000000000000000e-01,3.054778017966282633e+01
7.500000000000000000e-01,4.579931858092594155e+01
1.000000000000000000e+00,6.104957334108538447e+01
1.250000000000000000e+00,7.629814188805606534e+01
1.500000000000000000e+00,9.154560241404463738e+01
1.750000000000000000e+00,1.067939680023532958e+02
2.000000000000000000e+00,1.220426713107511318e+02
2.250000000000000000e+00,1.372892843919130144e+02
2.500000000000000000e+00,1.525381030100462851e+02
2.750000000000000000e+00,1.677871074757160557e+02
3.000000000000000000e+00,1.830331465166631233e+02
3.250000000000000000e+00,1.982808073308480346e+02
3.500000000000000000e+00,2.135284038148557784e+02
3.750000000000000000e+00,2.287781725319667316e+02
4.000000000000000000e+00,2.440249013831800085e+02
3.750000000000000000e+00,2.287680340409571897e+02
3.500000000000000000e+00,2.135113087634963733e+02
3.250000000000000000e+00,1.982547512615331868e+02
3.000000000000000000e+00,1.829983868848304667e+02
2.750000000000000000e+00,1.677423082986136080e+02
2.500000000000000000e+00,1.524864407418894245e+02
2.250000000000000000e+00,1.372307985424711205e+02
2.000000000000000000e+00,1.219754868535892740e+02
1.750000000000000000e+00,1.067204258316243397e+02
1.500000000000000000e+00,9.146592550875880079e+01
1.250000000000000000e+00,7.621183684092413557e+01
1.000000000000000000e+00,6.095818171389818474e+01
7.500000000000000000e-01,4.570448969594717425e+01
5.000000000000000000e-01,3.045114280413411478e+01
2.500000000000000000e-01,1.519770072333738575e+01
0.000000000000000000e+00,-5.579652881015147170e-02
-2.500000000000000000e-01,-1.530933794363308031e+01
-5.000000000000000000e-01,-3.056187325528058807e+01
-7.500000000000000000e-01,-4.581234970642744031e+01
-1.000000000000000000e+00,-6.106117058681999765e+01
-1.250000000000000000e+00,-7.630788991391558795e+01
-1.500000000000000000e+00,-9.155594598663748229e+01
-1.750000000000000000e+00,-1.068026047249536958e+02
-2.000000000000000000e+00,-1.220517278471746465e+02
-2.250000000000000000e+00,-1.372970251349665602e+02
-2.500000000000000000e+00,-1.525472985292918793e+02
-2.750000000000000000e+00,-1.677960005659377316e+02
-3.000000000000000000e+00,-1.830436434544209590e+02
-3.250000000000000000e+00,-1.982909491076602535e+02
-3.500000000000000000e+00,-2.135394271824551140e+02
-3.750000000000000000e+00,-2.287881991282867489e+02
-4.000000000000000000e+00,-2.440367275329542451e+02
-3.750000000000000000e+00,-2.287798451059859133e+02
-3.500000000000000000e+00,-2.135231121544310042e+02
-3.250000000000000000e+00,-1.982665286716663786e+02
-3.000000000000000000e+00,-1.830101520420800796e+02
-2.750000000000000000e+00,-1.677540056652945566e+02
-2.500000000000000000e+00,-1.524980726883574107e+02
-2.250000000000000000e+00,-1.372423552068370327e+02
-2.000000000000000000e+00,-1.219869872765361549e+02
-1.750000000000000000e+00,-1.067318815046790803e+02
-1.500000000000000000e+00,-9.147739148501285911e+01
-1.250000000000000000e+00,-7.622361601501495443e+01
-1.000000000000000000e+00,-6.097007690798678681e+01
-7.500000000000000000e-01,-4.571718029077371170e+01
-5.000000000000000000e-01,-3.046426339284514384e+01
-2.500000000000000000e-01,-1.521100419081643018e+01
0.000000000000000000e+00,4.239559497139725602e-02
2.500000000000000000e-01,1.529556439661660683e+01
5.000000000000000000e-01,3.054777884037088143e+01
7.500000000000000000e-01,4.579931724010607041e+01
1.000000000000000000e+00,6.104957199991997641e+01
1.250000000000000000e+00,7.629814051966782529e+01
1.500000000000000000e+00,9.154560106654587059e+01
1.750000000000000000e+00,1.067939666569010484e+02
2.000000000000000000e+00,1.220426699655282619e+02
2.250000000000000000e+00,1.372892830446058952e+02
2.500000000000000000e+00,1.525381016612991232e+02
2.750000000000000000e+00,1.677871061353743016e+02
3.000000000000000000e+00,1.830331451668803311e+02
3.250000000000000000e+00,1.982808059754739816e+02
3.500000000000000000e+00,2.135284024573379611e+02
3.750000000000000000e+00,2.287781711751131297e+02
4.000000000000000000e+00,2.440249020209465698e+02
4.250000000000000000e+00,2.590989087885614026e+02
4.500000000000000000e+00,2.741695814203949340e+02
4.750000000000000000e+00,2.892329355900467363e+02
5.000000000000000000e+00,3.042880361585137052e+02
