Displacement_mm,BaseShear_kN
-1.000000000000001443e-01,-6.241055050171012475e+00
-1.387778780781445676e-16,1.253573652838667904e-03
9.999999999999986677e-02,6.243550303668619073e+00
1.999999999999998723e-01,1.248586675145552505e+01
2.999999999999998779e-01,1.872816468795788225e+01
3.999999999999999112e-01,2.497042301094374395e+01
4.999999999999998890e-01,3.121260096588869715e+01
5.999999999999998668e-01,3.745478006975822183e+01
6.999999999999998446e-01,4.369692202320696595e+01
7.999999999999998224e-01,4.993908858801429318e+01
8.999999999999998002e-01,5.618105794031357902e+01
9.999999999999997780e-01,6.242299393382482009e+01
1.099999999999999867e+00,6.866482337262684155e+01
1.199999999999999956e+00,7.490667910238597926e+01
1.300000000000000044e+00,8.114852732508293798e+01
1.400000000000000133e+00,8.739012804105607302e+01
1.500000000000000222e+00,9.363177025750334792e+01
1.600000000000000311e+00,9.987345552983684627e+01
1.700000000000000400e+00,1.061153181443178681e+02
1.800000000000000488e+00,1.123572168342860351e+02
1.900000000000000577e+00,1.185985424874782552e+02
2.000000000000000444e+00,1.248399641638263233e+02
1.900000000000000355e+00,1.185973436295111441e+02
1.800000000000000266e+00,1.123547504087162139e+02
1.700000000000000178e+00,1.061121706687286945e+02
1.600000000000000089e+00,9.986960312253521010e+01
1.500000000000000000e+00,9.362705504889414954e+01
1.399999999999999911e+00,8.738452393071565893e+01
1.299999999999999822e+00,8.114201770130775060e+01
1.199999999999999734e+00,7.489952996530702478e+01
1.099999999999999645e+00,6.865706292137049616e+01
9.999999999999996669e-01,6.241461053128800529e+01
8.999999999999996891e-01,5.617218431226175568e+01
7.999999999999997113e-01,4.992976746844804836e+01
6.999999999999997335e-01,4.368735322872391436e+01
5.999999999999997558e-01,3.744496330319628186e+01
4.999999999999997780e-01,3.120257293989943648e+01
3.999999999999998002e-01,2.496020704235718668e+01
2.999999999999998224e-01,1.871783776107469777e+01
1.999999999999998168e-01,1.247546087967648099e+01
9.999999999999981126e-02,6.233077666903872327e+00
-1.942890293094023946e-16,-9.286004168007594428e-03
-1.000000000000001998e-01,-6.251634111403924443e+00
-2.000000000000002054e-01,-1.249402432465912760e+01
-3.000000000000002109e-01,-1.873634325556601965e+01
-4.000000000000002442e-01,-2.497868590001449363e+01
-5.000000000000002220e-01,-3.122089439294240876e+01
-6.000000000000001998e-01,-3.746304249521043772e+01
-7.000000000000001776e-01,-4.370506423428255260e+01
-8.000000000000001554e-01,-4.994713933301503772e+01
-9.000000000000001332e-01,-5.618900942224870221e+01
-1.000000000000000222e+00,-6.243094313331473444e+01
-1.100000000000000311e+00,-6.867288307803646319e+01
-1.200000000000000400e+00,-7.491418078998293595e+01
