Displacement_mm,BaseShear_kN
-1.500000000000000444e+00,-1.061423197660074749e+02
-1.400000000000000355e+00,-9.906572912589255964e+01
-1.300000000000000266e+00,-9.198916431547020522e+01
-1.200000000000000178e+00,-8.491263218244351663e+01
-1.100000000000000089e+00,-7.783614005283727977e+01
-1.000000000000000000e+00,-7.075967810161779425e+01
-9.000000000000000222e-01,-6.368327366026641556e+01
-8.000000000000000444e-01,-5.660690515352087715e+01
-7.000000000000000666e-01,-4.953056649749418483e+01
-6.000000000000000888e-01,-4.245426141676101395e+01
-5.000000000000001110e-01,-3.537801058932241460e+01
-4.000000000000001332e-01,-2.830176054779780515e+01
-3.000000000000001554e-01,-2.122548185088504624e+01
-2.000000000000001499e-01,-1.414922386575139690e+01
-1.000000000000001443e-01,-7.072912254125872877e+00
-1.387778780781445676e-16,3.341179855588734520e-03
9.999999999999986677e-02,7.079581033214297214e+00
1.999999999999998723e-01,1.415583370350157288e+01
2.999999999999998779e-01,2.123200059106313020e+01
3.999999999999999112e-01,2.830810618606437501e+01
4.999999999999998890e-01,3.538420980872398758e+01
5.999999999999998668e-01,4.246026560157645235e+01
6.999999999999998446e-01,4.953616369280442200e+01
7.999999999999998224e-01,5.661195044885314331e+01
8.999999999999998002e-01,6.368766884474043621e+01
9.999999999999997780e-01,7.076326913015174114e+01
1.099999999999999867e+00,7.783890774127942791e+01
1.199999999999999956e+00,8.491424006168790584e+01
1.300000000000000044e+00,9.198951672899876542e+01
1.400000000000000133e+00,9.906515906157369500e+01
1.500000000000000222e+00,1.061410482658853454e+02
1.600000000000000311e+00,1.132162498203908854e+02
1.700000000000000400e+00,1.202917437898535411e+02
1.800000000000000488e+00,1.273670575518137156e+02
1.900000000000000577e+00,1.344425682066650722e+02
2.000000000000000444e+00,1.415177443489738778e+02
2.100000000000000533e+00,1.485399211518212326e+02
2.200000000000000622e+00,1.555601671017782337e+02
2.300000000000000711e+00,1.625798699507434435e+02
2.400000000000000799e+00,1.695981891030591555e+02
2.500000000000000888e+00,1.766161042207258163e+02
2.600000000000000977e+00,1.836329764918350236e+02
2.700000000000001066e+00,1.906489331014842605e+02
2.800000000000001155e+00,1.976629166508630249e+02
2.900000000000001243e+00,2.046769305214972405e+02
3.000000000000001332e+00,2.116898232593844966e+02
3.100000000000001421e+00,2.187010129961662130e+02
3.200000000000001510e+00,2.257112998551226326e+02
3.300000000000001599e+00,2.327206972389062116e+02
3.400000000000001688e+00,2.397293918877080898e+02
3.500000000000001776e+00,2.467366276536073144e+02
3.600000000000001865e+00,2.537430121279005277e+02
3.700000000000001954e+00,2.607481810525991364e+02
3.800000000000002043e+00,2.677525218331008432e+02
3.900000000000002132e+00,2.747557047968284110e+02
4.000000000000001776e+00,2.817579858380700557e+02
3.900000000000001688e+00,2.746812757460643866e+02
3.800000000000001599e+00,2.676045818398368397e+02
3.700000000000001510e+00,2.605279058859939596e+02
3.600000000000001421e+00,2.534512477483649207e+02
3.500000000000001332e+00,2.463746092069705469e+02
3.400000000000001243e+00,2.392979906859564494e+02
3.300000000000001155e+00,2.322213877520213430e+02
3.200000000000001066e+00,2.251448063450011432e+02
3.100000000000000977e+00,2.180682527384820446e+02
3.000000000000000888e+00,2.109917199115973006e+02
2.900000000000000799e+00,2.039152052923392944e+02
2.800000000000000711e+00,1.968387175038748751e+02
2.700000000000000622e+00,1.897622481772096705e+02
2.600000000000000533e+00,1.826858091321960273e+02
2.500000000000000444e+00,1.756093729889743713e+02
2.400000000000000355e+00,1.685329949118689399e+02
2.300000000000000266e+00,1.614566608068838889e+02
2.200000000000000178e+00,1.543803806092285527e+02
2.100000000000000089e+00,1.473040818385105979e+02
2.000000000000000000e+00,1.402278708635082012e+02
1.899999999999999911e+00,1.331517047543247827e+02
1.799999999999999822e+00,1.260755668524653856e+02
1.699999999999999734e+00,1.189995143929476740e+02
1.599999999999999645e+00,1.119235031737894701e+02
1.499999999999999556e+00,1.048475020390403927e+02
1.399999999999999467e+00,9.777159761497173918e+01
1.299999999999999378e+00,9.069595381837739012e+01
1.199999999999999289e+00,8.362042773568106213e+01
1.099999999999999201e+00,7.654489526091420259e+01
9.999999999999992228e-01,6.946923221456461306e+01
8.999999999999992450e-01,6.239399724051297369e+01
7.999999999999992673e-01,5.531863213334063545e+01
6.999999999999992895e-01,4.824348859629404274e+01
5.999999999999993117e-01,4.116796455674673894e+01
4.999999999999993339e-01,3.409253450616423464e+01
3.999999999999993561e-01,2.701710530869676674e+01
