Displacement_mm,BaseShear_kN
5.000000000000000000e-01,2.996766632295324939e+01
7.500000000000000000e-01,4.469787007147122893e+01
1.000000000000000000e+00,5.942150544437798487e+01
1.250000000000000000e+00,7.413760212242442549e+01
1.500000000000000000e+00,8.885406825045501478e+01
1.750000000000000000e+00,1.035723180839599991e+02
2.000000000000000000e+00,1.182976203072855839e+02
2.250000000000000000e+00,1.330154827854302368e+02
2.500000000000000000e+00,1.477414702949349135e+02
2.750000000000000000e+00,1.624746101660956299e+02
3.000000000000000000e+00,1.772041104006797809e+02
3.250000000000000000e+00,1.919311116521335805e+02
3.500000000000000000e+00,2.066653046371248763e+02
